name,salary,contractExpires,realWorldTeam
Miguel Montero,10983000,01/11/2019,ARI
Aaron Hill,9200000,01/11/2019,ARI
Paul Goldschmidt,6410000,01/11/2019,ARI
Trevor Cahill,7500000,01/11/2019,ARI
Cody Ross,8600000,01/11/2019,ARI
Bronson Arroyo,1150000,01/11/2019,ARI
Brad Ziegler,5000000,01/11/2019,ARI
Cliff Pennington,2500000,01/11/2019,ARI
Mark Trumbo,4800000,01/11/2019,ARI
Oliver Perez,2100000,01/11/2019,ARI
David Hernandez,1125000,01/11/2019,ARI
Josh Collmenter,1115000,01/11/2019,ARI
Nolan Reimold,1030000,01/11/2019,ARI
Matt Reynolds,550000,01/11/2019,ARI
Addison Reed,539000,01/11/2019,ARI
Wade Miley,524000,01/11/2019,ARI
Patrick Corbin,515000,01/11/2019,ARI
Randall Delgado,510000,01/11/2019,ARI
Will Harris,507000,01/11/2019,ARI
A.J. Pollock,507000,01/11/2019,ARI
Didi Gregorius,507000,01/11/2019,ARI
Vidal Nuno,505000,01/11/2019,ARI
Jordan Pacheco,505000,01/11/2019,ARI
Tuffy Gosewisch,502000,01/11/2019,ARI
Chris Owings,502000,01/11/2019,ARI
Daniel Hudson,500000,01/11/2019,ARI
